store,list,_name_,FACTS,M_2014_01,M_2014_02,M_2014_03,M_2014_04,M_2014_05,M_2014_06,M_2014_07,M_2014_08,M_2014_09,M_2014_10,M_2014_11,M_2014_12,M_2015_01,M_2015_02,M_2015_03,M_2015_04,M_2015_05,M_2015_06,M_2015_07,M_2015_08,M_2015_09,M_2015_10,M_2015_11,M_2015_12,M_2016_01,M_2016_02,M_2016_03,M_2016_04,M_2016_05,M_2016_06,YEAR_2014_COMMON,YEAR_2014_NONCOMMON,YEAR_2015_COMMON,YEAR_2015_NONCOMMON,YEAR_2016_COMMON
National,All,Sales,Sales,974424.350000072,866056.970000062,1018566.43000009,1044815.95000005,973362.980000082,874580.520000081,876129.990000069,927440.260000025,919782.690000027,952001.360000056,929618.040000036,1043450.69000006,985554.210000066,893196.660000037,1019814.73000003,1039199.40000006,969885.020000034,907299.96000005,898826.410000035,930803.89000004,957973.740000028,986586.180000028,967294.210000013,1124161.82000002,1010336.07000005,941647.530000034,1044214.79000004,1125654.23000005,1035813.73000003,966885.640000018,5751807.20000044,5648423.03000027,5814949.98000028,5865646.25000017,6124551.99000025
National,All,Visits,Visits,160408,145010,165588,163447,160997,146863,147900,148551,156526,161528,153513,157063,160524,147132,171843,167829,165106,157441,155953,153405,166318,170791,166479,175090,164996,159952,173355,179984,172196,162636,942313,925081,969875,988036,1013119
National,All,Quantity,Quantity,442869.519999999,396945.42,455180.52,442417.62,439229.209999999,395277.339999999,398214.639999999,403658.259999999,421045.749999999,433890.14,416760.78,425218.76,433160.76,395001.81,459689.449999999,445503.81,438656.86,414458.41,412608.38,410461.030000001,445381.23,455506.54,439193.15,461439.65,439875.64,418259.3,449296.63,470645.51,446539.03,425187.03,2571919.62999999,2498788.32999999,2586471.1,2624589.98,2649803.14
National,All,Avg_basket,Average Basket,6.07466179991068,5.97239480035902,6.15120920598169,6.39238376966264,6.04584545053685,5.9550773169558,5.92379979716071,6.24324481154637,5.87622944430974,5.89372344113748,6.05563072834246,6.64351686902747,6.13960660088252,6.07071649947011,5.93457242948528,6.19201329925138,5.87431722650923,5.76279342737946,5.76344417869508,6.06762419738627,5.75989213434521,5.77657007687775,5.81030766643248,6.42047986749687,6.12339735508774,5.88706318145464,6.02356315076025,6.25419053915936,6.01531818393015,5.94508989399652,6.10392427993718,6.10586859961482,5.99556641835317,5.93667260099852,6.04524442834479
National,All,Avg_price_item,Average Price Per Item,2.20025155490509,2.18180365955617,2.23771972930672,2.36160564762327,2.21607069347706,2.21257439143888,2.20014510265135,2.29758771689702,2.18451959199215,2.19410692301063,2.23057947055391,2.45391499189749,2.27526198356486,2.2612470054252,2.21848626284557,2.33263863669327,2.21103351717794,2.18912184699075,2.17840076345525,2.2677034406897,2.15090730249235,2.1659100218408,2.20243464635095,2.43620551463236,2.29686751919259,2.25134869684913,2.32410999833237,2.39172414499409,2.31964881098979,2.274024304081,2.23638683452968,2.26046478694747,2.24821765068253,2.23488098891552,2.31132339514106
National,All,Avg_quantity,Average Quantity Purchased,2.76089421973966,2.73736583683884,2.74887383143706,2.7067955973496,2.72818257483058,2.69146987328326,2.6924586883029,2.71730422548484,2.68994128770938,2.68616054182557,2.71482402141838,2.70731337106766,2.69841743290723,2.68467641301688,2.67505484657507,2.654510305132,2.65681961891149,2.63246809916095,2.64572262155905,2.67566917636322,2.67788952488606,2.66704065202499,2.63812943374239,2.63544262950482,2.66597759945696,2.61490509652896,2.59177197081134,2.61492971597475,2.59320210690144,2.61434756142551,2.72936872355576,2.70115625550627,2.66680871246294,2.65637080025424,2.61549051986983
National,Lch,Sales,Sales,7.65,,15.43,10.96,2082.65,1307.12999999999,3393.30999999999,67402.54,112161.56,136048.79,177737.23,208886.49,213431.98,240752.48,306472.4,307703.73,305397.599999999,286525.64,283578.91,292181.92,321476.319999999,343892.98,352479.009999999,407824.04,365873.41,374353.87,438663.7,477045.63,442637.95,405372.21,3423.82,705629.92,1660283.83,2001433.18,2503946.77
National,Lch,Salesontotal,Sales % On National Sales,7.8507890325189E-6,,0.00001514874194,0.0000104898858,0.0021396437329,0.00149457936703,0.00387306682653,0.07267588318842,0.12194354299056,0.14290818870257,0.19119382622995,0.20018817563864,0.21656036556323,0.26954028242782,0.30051772246904,0.29609690883191,0.31488021126461,0.315800344574,0.31549908507916,0.31390277064698,0.33557947005936,0.3485686166818,0.36439689843692,0.36278054702123,0.36213040478697,0.39755201184458,0.42008952966466,0.42379410771634,0.42733354191007,0.41925559055773,0.00059525986893,0.12492511914426,0.28551988163446,0.34121273167469,0.40883754013163
National,Lch,No_customers,Number Of Customers,1,,1,2,5,2,84,2144,3114,3724,4685,5258,6051,7167,8378,8551,8799,8707,8504,8726,9665,10042,10281,10975,12485,11273,12470,13165,13154,12544,6,6644,12665,15457,21059
National,Lch,Visits,Visits,2,,1,2,283,186,718,9637,17210,20697,26264,27682,30792,34985,45215,43381,45585,43302,42065,42058,48913,52873,53764,55776,53408,56667,64245,67407,64882,59755,474,102208,243260,295449,366364
National,Lch,Quantity,Quantity,4,,6,4,720.449999999999,503.03,1424.4,28437.74,50457.95,60806.7199999999,77711.5799999999,83164.26,92293.79,105652.39,136177.549999999,128515.17,136278.88,127958.95,125480.29,124778.08,146594.54,158038.98,160342.379999999,163458.72,157712.03,164259.279999999,185012.849999999,194859.36,186239.03,172812.669999999,1237.48,302002.649999999,726876.73,878692.99,1060895.22
National,Lch,Avg_basket,Average Basket,3.825,,15.43,5.48,7.35918727915195,7.02758064516128,4.72605849582172,6.99414133028951,6.51723184195235,6.57335797458569,6.76733285105087,7.54593201358284,6.93141010652117,6.8815915392311,6.77811345792326,7.09305294944792,6.69951957880881,6.61691469216202,6.741445619874,6.94711874078654,6.5724106065872,6.50413216575568,6.5560414031694,7.31181942053931,6.85053568753745,6.60620590467115,6.82798194412017,7.07709332858606,6.82219953145711,6.78390444314284,7.22324894514768,6.90386192861615,6.82514112472252,6.77420867899367,6.83458737758077
National,Lch,Avg_price_item,Average Price Per Item,1.9125,,2.57166666666666,2.74,2.89076271774585,2.59851301115241,2.38227323785453,2.37017920552055,2.22287191612025,2.23739728108998,2.28713957430797,2.51173388664794,2.31252806933164,2.27872251635765,2.25053542232181,2.39429889872145,2.24097527070959,2.23919968083514,2.25994783722607,2.3416125652839,2.19296243911949,2.17600100937123,2.19828974722715,2.4949665579175,2.3198827001339,2.27904243827198,2.37099044742027,2.44815352980734,2.37671958450384,2.34573199985857,2.76676794776481,2.33650241148546,2.28413396863041,2.27773887214008,2.36022061632062
National,Lch,Avg_quantity,Average Quantity Purchased,2,,6,2,2.54575971731448,2.70446236559139,1.98384401114206,2.95089135623119,2.93189715281812,2.93794849495095,2.95886308254645,3.00427209016689,2.99733015068849,3.01993397170215,3.01177817096096,2.96247596874207,2.98955533618515,2.95503556417717,2.9830093902294,2.96680964382519,2.9970465929303,2.98902993966675,2.98233725169258,2.93062822719449,2.95296640952666,2.89867612543455,2.87980154097595,2.89078819707152,2.87042677476033,2.89202024935151,2.61071729957805,2.95478485050093,2.98806515662254,2.97409363375743,2.89574090249041
National,Lch,Avg_spend,Average Spending,7.65,,15.43,5.48,416.53,653.564999999999,40.3965476190476,31.4377518656716,36.0184842646114,36.5329726100966,37.9375090715048,39.7273659186002,35.2721831102297,33.5918068927026,36.5806158987825,35.984531633727,34.708216842823,32.9075043068795,33.3465322201317,33.4840614256246,33.2619058458354,34.2454670384385,34.2845063709755,37.1593658314351,29.3050388466159,33.2080076288477,35.177522052927,36.2359004937334,33.6504447316405,32.3160243941326,570.636666666667,106.205586995785,131.092288195815,129.483934786828,118.901503870079
National,Lch,Avg_visits,Average Visits,2,,1,1,56.6,93,8.54761904761904,4.49486940298507,5.5266538214515,5.55773361976369,5.6059765208111,5.26473944465576,5.08874566187407,4.88140086507604,5.3968727619957,5.07320781195181,5.18070235254006,4.97323992190191,4.94649576669802,4.81984872793949,5.06083807553026,5.26518621788488,5.22945238790001,5.08209567198177,4.27777332799359,5.02678967444336,5.15196471531676,5.12016710976072,4.93249201763722,4.76363201530612,79,15.3835039133052,19.2072641136991,19.1142524422591,17.3970273992117
