"cardcode","Store","RFM (MAY15-JUN15)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","RFM (MAR16-APR16)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","RFM (MAY16-JUN16)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","Score Difference with Y_Ago","RFM Lights with Y_Ago (MAY15-JUN15)","Score Difference with Previous","RFM Lights with Previous (MAR16-APR16)"
'0024179,National,,,,,,,,,,,123,0.313,Pandora Ayios Antonios,1,2,3,42,3,33.64,0.00%,211,0.063,Pandora Ayios Antonios,2,1,1,17,1,9.27,0.00%,,White,(  79.87%),Red
'20022989,National,,,,,,,,,,,512,0.375,Pandora Ayios Antonios,5,1,2,1,2,13.12,0.00%,124,0.438,Pandora Ayios Antonios,1,2,4,43,3,42.02,0.00%,,White,16.80%,Green
'22772056,National,,,,,,,,,,,121,0.063,Pandora Agios Dometios,1,2,1,43,3,5.21,0.00%,,,,,,,,,,,,,,Black
'80000001,National,344,0.688,Pandora Ayios Antonios - Pandora Tseriou - Pandora Kaimakli - Pandora Athalassas,3,4,4,9,10,73.89,10.31%,354,0.75,Pandora Ayios Antonios - Pandora Tseriou - Pandora Acropoleos - Pandora Kaimakli,3,5,4,8,17,84.61,0.00%,354,0.75,Pandora Ayios Antonios - Pandora Tseriou,3,5,4,7,18,78.2,0.00%,9.01%,Green,0.00%,Green
'80000002,National,211,0.063,Pandora Ayios Antonios,2,1,1,22,1,0.67,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80000005,National,555,1,Pandora Ayios Antonios,5,5,5,1,132,543.88,6.34%,555,1,Pandora Ayios Antonios,5,5,5,0,94,507.59,3.88%,555,1,Pandora Ayios Antonios - Pandora Prodromou,5,5,5,0,101,402.8,5.76%,0.00%,Green,0.00%,Green
'80000006,National,555,1,Pandora Ayios Antonios - Pandora Tseriou,5,5,5,0,58,134.38,0.00%,455,0.938,Pandora Ayios Antonios - Pandora Kaimakli - Pandora Prodromou,4,5,5,4,73,189.7,3.40%,455,0.938,Pandora Ayios Antonios - Pandora Kaimakli - Pandora Athalassas - Pandora Prodromou,4,5,5,3,38,119.25,1.08%,(   6.20%),Yellow,0.00%,Green
'80000007,National,555,1,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Kaimakli,5,5,5,0,167,675.76,4.21%,555,1,Pandora Ayios Antonios - Pandora Athalassas,5,5,5,0,129,642.07,2.52%,555,1,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Athalassas,5,5,5,0,124,539.17,1.30%,0.00%,Green,0.00%,Green
'80000009,National,142,0.313,Pandora Ayios Antonios,1,4,2,40,7,19.49,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80000013,National,312,0.25,Pandora Agios Dometios - Pandora Athalassas,3,1,2,10,2,11.48,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80000016,National,454,0.813,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Acropoleos - Pandora Athalassas,4,5,4,5,18,56.29,6.88%,555,1,Pandora Ayios Antonios,5,5,5,1,62,313,16.28%,555,1,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Prodromou,5,5,5,0,48,244.78,7.43%,23.00%,Green,0.00%,Green
'80000017,National,433,0.563,Pandora Ayios Antonios - Pandora Kaimakli,4,3,3,2,5,25.04,0.00%,111,0,Pandora Ayios Antonios,1,1,1,55,1,2.38,0.00%,,,,,,,,,,,,Black,,Black
'80000018,National,454,0.813,Pandora Ayios Antonios,4,5,4,5,19,71.51,11.98%,454,0.813,Pandora Ayios Antonios - Pandora Agios Dometios,4,5,4,2,22,66.34,0.00%,554,0.875,Pandora Ayios Antonios - Pandora Agios Dometios,5,5,4,0,28,73.37,0.00%,7.63%,Green,7.63%,Green
'80000019,National,,,,,,,,,,,512,0.375,Pandora Ayios Antonios,5,1,2,0,1,12.87,0.00%,,,,,,,,,,,,,,Black
'80000020,National,454,0.813,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Prodromou,4,5,4,2,18,70.63,0.00%,555,1,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Acropoleos - Pandora Athalassas - Pandora Prodromou,5,5,5,0,32,138.44,1.52%,555,1,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Athalassas - Pandora Prodromou,5,5,5,1,21,122.55,0.00%,23.00%,Green,0.00%,Green
'80000021,National,355,0.875,Pandora Ayios Antonios - Pandora Prodromou,3,5,5,6,19,112.4,0.00%,555,1,Pandora Ayios Antonios - Pandora Kaimakli - Pandora Prodromou,5,5,5,0,21,160.36,1.19%,455,0.938,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Kaimakli - Pandora Athalassas - Pandora Prodromou,4,5,5,2,26,149.54,0.00%,7.20%,Green,(   6.20%),Yellow
'80000022,National,411,0.188,Pandora Prodromou,4,1,1,2,1,1.86,0.00%,111,0,Pandora Prodromou,1,1,1,57,1,1.14,0.00%,,,,,,,,,,,,Black,,Black
'80000023,National,555,1,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Acropoleos - Pandora Kaimakli,5,5,5,1,28,136.5,0.00%,555,1,Pandora Ayios Antonios - Pandora Tseriou - Pandora Acropoleos - Pandora Kaimakli,5,5,5,0,35,146.21,0.00%,455,0.938,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Kaimakli - Pandora Athalassas,4,5,5,4,49,221.41,0.00%,(   6.20%),Yellow,(   6.20%),Yellow
'80000024,National,555,1,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Tseriou - Pandora Kaimakli - Pandora Athalassas - Pandora Prodromou,5,5,5,0,61,325.69,0.00%,555,1,Pandora Ayios Antonios - Pandora Tseriou - Pandora Acropoleos - Pandora Kaimakli,5,5,5,0,58,897.33,0.00%,555,1,Pandora Ayios Antonios - Pandora Tseriou - Pandora Athalassas - Pandora Prodromou,5,5,5,0,61,368.14,0.93%,0.00%,Green,0.00%,Green
'80000025,National,,,,,,,,,,,312,0.25,Pandora Athalassas,3,1,2,10,1,21.21,0.00%,,,,,,,,,,,,,,Black
'80000027,National,111,0,Pandora Tseriou,1,1,1,33,1,2.14,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80000028,National,111,0,Pandora Athalassas - Pandora Prodromou,1,1,1,29,2,5.72,0.00%,422,0.375,Pandora Ayios Antonios - Pandora Kaimakli,4,2,2,3,3,17.91,0.00%,422,0.375,Pandora Kaimakli,4,2,2,4,2,15.62,0.00%,100.00%,Blue,0.00%,Green
